CHECKSUM,DATA_FREE,NODEGROUP,CHECK_TIME,TABLE_NAME,TABLE_ROWS,CREATE_TIME,DATA_LENGTH,UPDATE_TIME,INDEX_LENGTH,TABLE_SCHEMA,TABLE_CATALOG,AVG_ROW_LENGTH,PARTITION_NAME,MAX_DATA_LENGTH,TABLESPACE_NAME,PARTITION_METHOD,PARTITION_COMMENT,SUBPARTITION_NAME,SUBPARTITION_METHOD,PARTITION_EXPRESSION,PARTITION_DESCRIPTION,SUBPARTITION_EXPRESSION,PARTITION_ORDINAL_POSITION,SUBPARTITION_ORDINAL_POSITION
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133880460,<blank>,<blank>,<blank>,<blank>,1995,<blank>,<blank>,<blank>,<blank>,INNODB_SYS_TABLES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133019292,<blank>,<blank>,<blank>,<blank>,222,<blank>,<blank>,<blank>,<blank>,INNODB_SYS_COLUMNS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133642656,<blank>,<blank>,<blank>,<blank>,1163,<blank>,<blank>,<blank>,<blank>,INNODB_FT_CONFIG,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133980966,<blank>,<blank>,<blank>,<blank>,567,<blank>,<blank>,<blank>,<blank>,USER_STATISTICS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133699944,<blank>,<blank>,<blank>,<blank>,2072,<blank>,<blank>,<blank>,<blank>,INNODB_SYS_TABLESPACES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,95070885,<blank>,<blank>,<blank>,<blank>,17,<blank>,<blank>,<blank>,<blank>,INNODB_SYS_VIRTUAL,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,133060520,<blank>,<blank>,<blank>,<blank>,230,<blank>,<blank>,<blank>,<blank>,INNODB_SYS_INDEXES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134163510,<blank>,<blank>,<blank>,<blank>,60190,<blank>,<blank>,<blank>,<blank>,INNODB_SYS_SEMAPHORE_WAITS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134158962,<blank>,<blank>,<blank>,<blank>,24017,<blank>,<blank>,<blank>,<blank>,INNODB_MUTEXES,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134191547,<blank>,<blank>,<blank>,<blank>,6631,<blank>,<blank>,<blank>,<blank>,user_variables,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,134017488,<blank>,<blank>,<blank>,<blank>,2013,<blank>,<blank>,<blank>,<blank>,INNODB_TABLESPACES_ENCRYPTION,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,75497472,<blank>,<blank>,<blank>,<blank>,9,<blank>,<blank>,<blank>,<blank>,INNODB_FT_DELETED,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-28 06:58:59,0,def,0,<blank>,<blank>,0,129642085,<blank>,<blank>,<blank>,<blank>,85,<blank>,<blank>,<blank>,<blank>,THREAD_POOL_STATS,<blank>,<blank>,information_schema,0,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,alumni,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,744,<blank>,def,<blank>,<blank>,22,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,bus_time_table,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,0,<blank>,def,<blank>,<blank>,0,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,career_enquiry,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,409,<blank>,def,<blank>,<blank>,40,<blank>,<blank>,2021-10-28 04:34:30,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,cell_record,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,744,<blank>,def,<blank>,<blank>,22,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,colloborations,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,585,<blank>,def,<blank>,<blank>,28,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,events,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,1638,<blank>,def,<blank>,<blank>,10,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,events_registration,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,0,<blank>,def,<blank>,<blank>,0,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,invitedtalks,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,94,<blank>,def,<blank>,<blank>,174,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,search,0,<blank>,<blank>,49152,<blank>,<blank>,<blank>,<blank>,<blank>,585,<blank>,def,<blank>,<blank>,84,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,extra_curricular,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,0,<blank>,def,<blank>,<blank>,0,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,photos,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,147,<blank>,def,<blank>,<blank>,111,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,research,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,104,<blank>,def,<blank>,<blank>,157,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,jobs,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,0,<blank>,def,<blank>,<blank>,0,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,faculty_profile,0,<blank>,<blank>,114688,<blank>,<blank>,<blank>,<blank>,<blank>,100,<blank>,def,<blank>,<blank>,1140,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,projects_guided,0,<blank>,<blank>,98304,<blank>,<blank>,<blank>,<blank>,<blank>,153,<blank>,def,<blank>,<blank>,642,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,lab_details,0,<blank>,<blank>,81920,<blank>,<blank>,<blank>,<blank>,<blank>,1241,<blank>,def,<blank>,<blank>,66,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,publications,0,<blank>,<blank>,196608,<blank>,<blank>,<blank>,<blank>,<blank>,221,<blank>,def,<blank>,<blank>,887,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,recruiters,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,546,<blank>,def,<blank>,<blank>,30,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
2021-10-21 20:49:46,0,slider,0,<blank>,<blank>,16384,<blank>,<blank>,<blank>,<blank>,<blank>,0,<blank>,def,<blank>,<blank>,0,<blank>,<blank>,<blank>,u206194013_ICOER02MAR20,<blank>,<blank>,<blank>
