id,faculty_id,type,title,year,nameofpublisher
779,158,Published,8. Review on Experimental Investigation to Evaluate COP by using refrigerant Hc-22 a in domestic Refrigerator as alternative with R-134-a,2015,International Journal of on Recent and Innovation Trends in Computing and Communication
780,158,Published,9. Development on “Coconut Water Extracting Machine,2015,International Journal of Mechanical And Production Engineering 
781,158,Published,10. Experimental Investigation of Performance Characteristics for CI Engine Using Waste Plastic Oil &amp,2015,International Journal of Engineering Science &amp
782,158,Published,11. Design and Fabrication of Two Axis Pneumatic Arm,2016,International Research Journal of Engineering and Technology 
783,159,Published,1. Numerical Analysis to Determine the Distribution of tool forces and temp. of single point cutting tool,2014,International Journal of Science and Research
784,159,Published,2. Finite Element Analysis of Von Mises Stresses & Deformation at tip of cutting tool,2014,International Journal of Innovative Research in Advanced Engineering
785,159,Published,3. Study Effect of HSS Single Point Cutting Tool Nose Radius on Cutting Edge Strength and Tool Wear in Machining of EN9,2014,International Journal of Science and Research
786,159,Published,4. Finite element analysis study of cutting forces of geometry of single point cutting tool,2015,International Journal of Pure and Applied Research in Engineering and Technology
787,159,Presented,5. Literature review on knee prosthesis using robotic system and mechanisms.,2019,Journal of emerging Technologies and Innovative Research
788,160,Published,1. Three in one mechanism,2015,International Journal of Recent Development in Engineering and Technology
789,160,Published,2. Design and Analysis of a Leaf Spring for automobile suspension system: A Review,2012,International Journal of Emerging Technology and Advanced Engineering
792,162,Published,1. Effect of Notch Angle on the Fracture Toughness of Al7075 T6 Alloy- An Experimental Approach,2015,Journal of Mechanical and Civil Engineering
793,162,Published,2. Effect Of Specimen Diameter And Notch Diameter On The Fracture Toughness Of Al7075 T6 Alloy- An Experimental Approach,2015,International Journal of Research in Engineering and Technology
794,162,Published,3. Effect Of Specimen Diameter And Notch Diameter On The Fracture Toughness Of Al7075 T6 Alloy- An Experimental Approach,2015,International Journal of Innovation in Engineering and Technology
795,162,Published,4. Effect of Specimen Diameter and notch angle on the Fracture Toughness of Al7075 T6 Alloy-An Experimental Approach,2015,International Journal of Latest Trends in Engineering and Technology
801,164,Published,1. Design and analysis of Pressure vessel,2016,National conference on Recent Trends in Mechanical Engineering
802,164,Published,2. Effect of Non-Metallic insert in forced convection by using flow divider insert,2019,Journal of Emerging Technologies and Innovative Research
803,164,Published,3. A Study on Sintering Characteristic and Dielectric Properties of Aluminium Nitride Ceramics,2019,Journal of Emerging Technologies and Innovative Research
804,164,Published,4. Wear Analysis Of Multi-Plate Wet Clutch With Different Friction Materials,2019,Journal of Emerging Technologies and Innovative Research
805,164,Published,5. Design and analysis of mechanical components working at high pressure and high temperature,2018,Journal of Emerging Technologies and Innovative Research
806,165,Published,1.A Study on Sintering Characteristic and Dielectric Properties of Aluminium Nitride Ceramics,<blank>,Journal of Emerging Technologies and Innovative Research
807,165,Published,2.Wear Analysis Of Multi-Plate Wet Clutch With Different Friction Materials,2019,Journal of Emerging Technologies and Innovative Research
808,165,Published,3.Design and analysis of mechanical components working at high pressure and high temperature,2019,Journal of Emerging Technologies and Innovative Research
809,165,Published,4. Predictive methods to analyse bearing failure using lab view and daq technique,2018,International Journal of Advance Research and Innovative Ideas in Education and Innovative Ideas in Education
810,165,Published,"5. Analysis of performance, combustion & emission for single cylinder diesel engine using blends of kome",2017,International Journal of Advance Research and Innovative Ideas in Science and Engineering
811,165,Published,6. Performance and analysis of grid connected irp control statcom with variation of dc link voltage,2016,"International Conference on Electrical ,Electronics ,Computer ,Mechanical Engineering"
812,166,Published,1. Design and development of Die for manufacturing a pump impeller in cooling system of two wheeler,2014,InternationalJournal of Advanced Engineering Research and Studies
813,166,Published,2. Multipurpose Sand Screening Machine,2017,"International Advanced Research Journal in Science, Engineering and Technology"
814,166,Published,3. Development of Plastic Injection Mold using Simulation Technique Analysis Result,2017,"International Advanced Research Journal in Science, Engineering and Technology"
815,166,Published,4. MAGMAsoft Analysis of Impeller Die,2017,International Journal of Engineering Technology Science and Research
816,166,Published,5. Design Pressure Die Casting Die for Impeller,2019,Journal of Emerging Technologies and Innovative Research
817,166,Published,6. Review Paper on Design of Muffler using Hemp fibre,2019,Journal of Emerging Technologies and Innovative Research
